index,Month,Day,Year,Ship Name,Ship Type,Tonnage,Latitiude,Longitude,Assessment,Original Location,Month Index
1,12,18,1942,TENRYU,Light Cruiser,3300,-5.016666667,145.95,Sunk,"5-11S, 145-57E",13
2,2,20,1943,OSHIO,Destroyer,1850,0,146.1,Sunk,"0-50S, 146-06E",15
3,2,20,1943,UNKNOWN,Frigate,750,0,146.1,Sunk,"0-50S, 146-06E",15
4,9,4,1943,HEIJO MARU,Ex-Gunboat,2627,-5.533333333,156.3833333,Sunk,"05-32S, 156-23E",22
5,11,25,1943,KENZAN MARU,Cargo,4705,0.016666667,145.9333333,Sunk,"0-51N, 145-56E",24
6,1,12,1944,CHOKO MARU,Ex-Gunboat,2629,3,147.45,Sunk,"3-30N, 147-27E",26
7,1,14,1944,SAZANAMI,Destroyer,1950,5.083333333,141.25,Sunk,"5-15N, 141-15E",26
8,6,19,1944,TAIHO,Aircraft Carrier,31000,12.36666667,137.0666667,Sunk,"12-22N, 137-04E",31
9,9,5,1944,SHINGETSU MARO,Cargo,880,32.4,134.25,Sunk,"32-24N, 134-15E",34
10,9,11,1944,SUBMARINE CHASER NO 165,Submarine Chaser,170,32.33333333,131.8333333,Sunk,"32-20N, 131-50E",34
11,9,19,1942,SHIROGANE MARU,Transport,3130,-6.05,156.0833333,Sunk,"6-33S, 156-05E",10
12,10,7,1942,SENKAI MARU,Transport,2095,1.083333333,153.7,Sunk,"1-55N, 153-42E",11
13,1,29,1944,SHUKO MARU,Ex-Net Tender,889,23.11666667,142.45,Sunk,"23-07N, 142-27E",26
14,5,20,1944,OTORI MARU,Cargo,2105,-5,105.45,Sunk,"5-40S, 105-27E",30
15,10,14,1944,NANREI MARU,Transport,2407,11.88333333,121.65,Sunk,"11-53N, 121-39E",35
16,12,4,1943,DAIDO MARU,Ex-Gunboat,2962,8.083333333,159.1,Sunk,"8-15N, 159-06E",25
17,9,27,1944,HACHIROGATA MARU,Cargo,1999,46.53333333,146.8,Sunk,"46-32N, 146-48E",34
18,6,18,1945,HAKUAI MARU,Transport,2614,50.5,155.0166667,Sunk,"50-30N, 155-01E",43
19,6,28,1944,COAST DEF VESSEL NO 24,Frigate,800,24.73333333,140.3333333,Sunk,"24-44N, 140-20E",31
20,11,29,1944,SHINANO,Aircraft Carrier,59000,32,137,Sunk,"32-00N, 137-00E",36
21,2,15,1944,I 43,Submarine,2212,12.7,149.2833333,Sunk,"12-42N, 149-17E",27
22,5,15,1944,JOKUJA MARU,Cargo,6440,10.16666667,131.4166667,Sunk,"10-10N, 131-25E",30
23,7,28,1944,PEKING MARU,Transport,2288,17.55,120.35,Sunk,"17-33N, 120-21E",32
24,10,2,1944,AZUCHISAN MARU,Cargo,6888,18.41666667,120.5333333,Sunk,"18-25N, 120-32E",35
25,10,7,1944,MACASSAR MARU,,4026,17.9,119.95,Sunk,"17-54N, 119-57E",35
26,11,1,1944,ASAMA MARU,Transport,16975,20.15,117.6333333,Sunk,"20-09N, 117-38E",36
27,11,20,1944,MINSWEEPER NO 38,Minesweeper,630,21.35,119.75,Sunk,"21-21N, 119-45E",36
28,11,25,1944,PATROL BOAT NO 38,Old Destroyer,820,20.2,121.85,Sunk,"20-12N, 121-51E",36
29,11,25,1944,SANTOS MARU,Cargo,7266,2.033333333,121.85,Sunk,"2-12N, 121-51E",36
30,1,24,1945,TAIMAN MARU NO 1,Cargo,6888,36.9,123.9833333,Sunk,"36-74N, 123-59E",38
31,8,13,1945,COAST DEFENSE VESSEL NO 6,Frigate,800,42.18333333,142.2333333,Sunk,"42-11N, 142-14E",45
32,2,23,1944,NIKKI MARU,Transport,5857,-7,135.7,Sunk,"7S, 135-42E",27
33,2,28,1944,SHOHO MARU,Cargo,2723,6,132.8833333,Sunk,"6N, 132-53E",27
